record_type,unique_system_identifier,uls_file_number,ebf_number,call_sign,frequency_action_performed,location_number,antenna_number,class_station_code,op_altitude_code,frequency_assigned,frequency_upper_band,frequency_carrier,time_begin_operations,time_end_operations,power_output,power_erp,tolerance,frequency_ind,status,eirp,transmitter_make,transmitter_model,auto_transmitter_power_control,cnt_mobile_units,cnt_mob_pagers,freq_seq_id,status_code,status_date,date_first_used
FR,1250436,,,KGA914,,1,1,FB,,39.30000000,,,,,300.000,88.000,,,,,,,,3,,7,,,10/17/1990
FR,1250436,,,KGA914,,1,1,FB,,39.32000000,,,,,300.000,88.000,,,,,,,,3,,8,,,10/17/1990
FR,1250436,,,KGA914,,1,1,FB,,39.34000000,,,,,300.000,88.000,,,,,,,,3,,9,,,10/17/1990
FR,1250436,,,KGA914,,1,1,FB,,39.38000000,,,,,300.000,88.000,,,,,,,,3,,10,,,10/17/1990
FR,1250436,,,KGA914,,1,1,FB,,39.40000000,,,,,300.000,88.000,,,,,,,,3,,11,,,10/17/1990
FR,1250436,,,KGA914,,1,1,FB,,39.62000000,,,,,300.000,88.000,,,,,,,,3,,13,,,10/17/1990
FR,1250436,,,KGA914,,1,1,FB,,39.66000000,,,,,300.000,88.000,,,,,,,,3,,14,,,10/17/1990
FR,1250436,,,KGA914,,1,1,FB,,39.22000000,,,,,100.000,222.000,,,,,,,,3,,15,,,03/24/2005
FR,1250436,,,KGA914,,1,1,FB,,39.68000000,,,,,100.000,222.000,,,,,,,,3,,16,,,03/24/2005
FR,1250436,,,KGA914,,1,1,FB,,39.92000000,,,,,100.000,222.000,,,,,,,,3,,17,,,03/24/2005
FR,1250436,,,KGA914,,1,1,FB,,39.90000000,,,,,300.000,88.000,,,,,,,,3,,18,,,08/16/2007
FR,1250436,,,KGA914,,2,1,FB,,39.26000000,,,,,300.000,330.000,,,,,,,,3,,6,,,10/17/1990
FR,1250436,,,KGA914,,2,1,FB,,44.74000000,,,,,300.000,330.000,,,,,,,,1,,15,,,10/17/1990
FR,1250436,,,KGA914,,2,1,FB,,39.04000000,,,,,300.000,330.000,,,,,,,,3,,1,,,10/17/1990
FR,1250436,,,KGA914,,2,1,FB,,39.06000000,,,,,300.000,330.000,,,,,,,,3,,2,,,10/17/1990
FR,1250436,,,KGA914,,2,1,FB,,39.10000000,,,,,300.000,330.000,,,,,,,,3,,3,,,10/17/1990
FR,1250436,,,KGA914,,2,1,FB,,39.14000000,,,,,300.000,330.000,,,,,,,,3,,4,,,10/17/1990
FR,1250436,,,KGA914,,2,1,FB,,39.24000000,,,,,300.000,330.000,,,,,,,,3,,5,,,10/17/1990
FR,1250436,,,KGA914,,2,1,FB,,39.30000000,,,,,300.000,330.000,,,,,,,,3,,7,,,10/17/1990
FR,1250436,,,KGA914,,2,1,FB,,39.32000000,,,,,300.000,330.000,,,,,,,,3,,8,,,10/17/1990
FR,1250436,,,KGA914,,2,1,FB,,39.34000000,,,,,300.000,330.000,,,,,,,,3,,9,,,10/17/1990
FR,1250436,,,KGA914,,2,1,FB,,39.38000000,,,,,300.000,330.000,,,,,,,,3,,10,,,10/17/1990
FR,1250436,,,KGA914,,2,1,FB,,39.40000000,,,,,300.000,330.000,,,,,,,,3,,11,,,10/17/1990
FR,1250436,,,KGA914,,2,1,FB,,39.52000000,,,,,300.000,330.000,,,,,,,,3,,12,,,10/17/1990
FR,1250436,,,KGA914,,2,1,FB,,39.62000000,,,,,300.000,330.000,,,,,,,,3,,13,,,10/17/1990
FR,1250436,,,KGA914,,2,1,FB,,39.66000000,,,,,300.000,330.000,,,,,,,,3,,14,,,10/17/1990
FR,1250436,,,KGA914,,2,1,FB,,44.90000000,,,,,300.000,330.000,,,,,,,,1,,16,,,10/17/1990
FR,1250436,,,KGA914,,2,1,FB,,155.19000000,,,,,300.000,330.000,,,,,,,,1,,17,,,10/17/1990
FR,1250436,,,KGA914,,2,1,FB,,155.47500000,,,,,300.000,330.000,,,,,,,,1,,18,,,10/17/1990
FR,1250436,,,KGA914,,2,1,FB,,155.73000000,,,,,300.000,330.000,,,,,,,,1,,19,,,10/17/1990
FR,1250436,,,KGA914,,2,1,FB,,39.22000000,,,,,100.000,222.000,,,,,,,,3,,20,,,03/24/2005
FR,1250436,,,KGA914,,2,1,FB,,39.68000000,,,,,100.000,222.000,,,,,,,,3,,21,,,03/24/2005
FR,1250436,,,KGA914,,2,1,FB,,39.92000000,,,,,100.000,222.000,,,,,,,,3,,22,,,03/24/2005
FR,1255489,,,KNNG313,,1,1,FB,,155.47500000,,,,,100.000,100.000,,,,,,,,1,,1,,,01/11/1996
FR,1266014,,,WNYQ766,,1,1,FB,,155.47500000,,,,,50.000,50.000,,,,,,,,1,,1,,,03/03/1992
FR,1294968,,,WPMQ948,,1,1,FXO,,173.20375000,,,,,10.000,40.000,,,,,,,,1,,1,,,11/12/1998
FR,1294968,,,WPMQ948,,2,1,FXO,,173.20375000,,,,,10.000,40.000,,,,,,,,1,,1,,,11/12/1998
FR,1591274,,,KAU893,,1,1,FB,,151.65500000,,,,,100.000,,,,,,,,,1,,1,,,03/09/1981
FR,1591274,,,KAU893,,2,1,MO,,151.65500000,,,,,100.000,,,,,,,,,10,,1,,,03/09/1981
FR,1610113,,,KGH548,,1,1,FB,,151.86500000,,,,,110.000,226.000,,,,,,,,1,,1,,,03/15/1995
FR,1610113,,,KGH548,,2,1,MO,,151.86500000,,,,,110.000,110.000,,,,,,,,10,,1,,,03/15/1995
FR,1613423,,,KNAE389,,1,1,FB2,,151.77500000,,,,,50.000,50.000,,,,,,,,1,,1,,,07/03/1986
FR,1613423,,,KNAE389,,2,1,MO,,151.77500000,,,,,50.000,45.000,,,,,,,,30,,1,,,07/03/1986
FR,1613423,,,KNAE389,,2,1,MO,,160.09500000,,,,,50.000,45.000,,,,,,,,30,,2,,,09/29/2016
FR,1773746,,,KIU682,,1,1,FB,,160.23000000,,,,,40.000,104.000,,,,,,,,1,,1,,,12/09/1988
FR,1773746,,,KIU682,,1,1,FB,,160.32000000,,,,,40.000,104.000,,,,,,,,1,,2,,,12/09/1988
FR,1773746,,,KIU682,,1,1,FB,,160.78500000,,,,,40.000,104.000,,,,,,,,1,,3,,,12/09/1988
FR,1773746,,,KIU682,,1,1,FB,,161.40000000,,,,,40.000,104.000,,,,,,,,1,,4,,,08/13/1998
FR,1773746,,,KIU682,,1,1,FB,,161.16000000,,,,,40.000,104.000,,,,,,,,1,,5,,,08/24/2017
FR,1773746,,,KIU682,,1,1,FB,,160.47000000,,,,,35.000,70.000,,,,,,,,1,,6,,,01/25/2018
FR,1773746,,,KIU682,,1,1,FB,,160.48500000,,,,,35.000,70.000,,,,,,,,1,,7,,,01/25/2018
FR,1773746,,,KIU682,,1,1,FB,,160.87500000,,,,,35.000,70.000,,,,,,,,1,,8,,,01/25/2018
FR,1773746,,,KIU682,,2,1,FB,,160.23000000,,,,,75.000,180.000,,,,,,,,1,,1,,,12/09/1988
FR,1773746,,,KIU682,,2,1,FB,,160.78500000,,,,,75.000,180.000,,,,,,,,1,,2,,,12/09/1988
FR,1773746,,,KIU682,,3,1,FB,,160.38000000,,,,,75.000,75.000,,,,,,,,1,,1,,,12/09/1988
FR,1773746,,,KIU682,,3,1,FB,,160.78500000,,,,,75.000,75.000,,,,,,,,1,,2,,,12/09/1988
FR,1773746,,,KIU682,,3,1,FB,,161.16000000,,,,,75.000,75.000,,,,,,,,1,,3,,,12/09/1988
FR,1773746,,,KIU682,,4,1,FB,,160.23000000,,,,,45.000,65.000,,,,,,,,1,,1,,,12/09/1988
FR,1773746,,,KIU682,,4,1,FB,,160.32000000,,,,,45.000,65.000,,,,,,,,1,,2,,,12/09/1988
FR,1773746,,,KIU682,,4,1,FB,,160.78500000,,,,,45.000,65.000,,,,,,,,1,,3,,,12/09/1988
FR,1773746,,,KIU682,,4,1,FB,,161.14500000,,,,,45.000,65.000,,,,,,,,1,,4,,,05/09/2018
FR,1773746,,,KIU682,,4,1,FB,,161.23500000,,,,,45.000,64.000,,,,,,,,1,,5,,,05/09/2018
FR,1773746,,,KIU682,,4,1,FB,,161.35500000,,,,,45.000,65.000,,,,,,,,1,,6,,,05/09/2018
FR,1773746,,,KIU682,,5,1,FB,,160.23000000,,,,,45.000,109.000,,,,,,,,1,,1,,,12/09/1988
FR,1773746,,,KIU682,,5,1,FB,,160.32000000,,,,,45.000,109.000,,,,,,,,1,,2,,,12/09/1988
FR,1773746,,,KIU682,,5,1,FB,,160.78500000,,,,,45.000,109.000,,,,,,,,1,,3,,,12/09/1988
FR,1773746,,,KIU682,,5,1,FB,,161.14500000,,,,,45.000,109.000,,,,,,,,1,,4,,,05/09/2018
FR,1773746,,,KIU682,,5,1,FB,,161.23500000,,,,,45.000,109.000,,,,,,,,1,,5,,,05/09/2018
FR,1773746,,,KIU682,,5,1,FB,,161.35500000,,,,,45.000,109.000,,,,,,,,1,,6,,,05/09/2018
FR,1806035,,,WPNS951,,2,1,FB,,160.56000000,,,,,65.000,230.000,,,,,,,,1,,1,,,06/02/1999
FR,1806035,,,WPNS951,,3,1,FB,,160.80000000,,,,,40.000,77.000,,,,,,,,1,,1,,,06/02/1999
FR,1816223,,,WPPC544,,1,1,FB6,,461.60000000,,,,,100.000,35.000,,,,,,,,1,,3,,,10/20/1999
FR,1816223,,,WPPC544,,1,1,FB6,,150.96500000,,,,,100.000,35.000,,,,,,,,1,,1,,,10/20/1999
FR,1816223,,,WPPC544,,1,1,FB6,,153.44000000,,,,,100.000,35.000,,,,,,,,1,,2,,,10/20/1999
FR,1816223,,,WPPC544,,2,1,FB6,,464.75000000,,,,,100.000,250.000,,,,,,,,1,,1,,,10/20/1999
FR,1816223,,,WPPC544,,3,1,FX1,,157.47000000,,,,,40.000,40.000,,,,,,,,10,,1,,,10/20/1999
FR,1816223,,,WPPC544,,3,1,FX1,,159.79500000,,,,,40.000,40.000,,,,,,,,10,,2,,,10/20/1999
FR,1816223,,,WPPC544,,3,1,FX1,,466.60000000,,,,,40.000,40.000,,,,,,,,10,,3,,,10/20/1999
FR,1816223,,,WPPC544,,3,1,FX1,,469.75000000,,,,,40.000,40.000,,,,,,,,10,,4,,,10/20/1999
FR,1816223,,,WPPC544,,4,1,MO,,159.79500000,,,,,40.000,40.000,,,,,,,,100,,4,,,10/20/1999
FR,1816223,,,WPPC544,,4,1,MO,,150.96500000,,,,,40.000,40.000,,,,,,,,100,,1,,,10/20/1999
FR,1816223,,,WPPC544,,4,1,MO,,153.44000000,,,,,40.000,40.000,,,,,,,,100,,2,,,10/20/1999
FR,1816223,,,WPPC544,,4,1,MO,,157.47000000,,,,,40.000,40.000,,,,,,,,100,,3,,,10/20/1999
FR,1816223,,,WPPC544,,4,1,MO,,461.60000000,,,,,40.000,40.000,,,,,,,,100,,5,,,10/20/1999
FR,1816223,,,WPPC544,,4,1,MO,,466.60000000,,,,,40.000,40.000,,,,,,,,100,,6,,,10/20/1999
FR,1816223,,,WPPC544,,5,1,MO,,464.75000000,,,,,40.000,40.000,,,,,,,,100,,1,,,10/20/1999
FR,1816223,,,WPPC544,,5,1,MO,,469.75000000,,,,,40.000,40.000,,,,,,,,100,,2,,,10/20/1999
FR,1823878,,,WPQC357,,1,1,FB6,,159.70500000,,,,,110.000,41.000,,,,,,,,1,,2,,,11/08/2000
FR,1823878,,,WPQC357,,1,1,FB6,,159.52500000,,,,,110.000,41.000,,,,,,,,1,,1,,,11/08/2000
FR,1823878,,,WPQC357,,1,1,FB6,,159.93000000,,,,,110.000,41.000,,,,,,,,1,,3,,,11/08/2000
FR,1823878,,,WPQC357,,2,1,FX1,,153.33500000,,,,,40.000,40.000,,,,,,,,6,,1,,,05/18/2000
FR,1823878,,,WPQC357,,2,1,FX1,,153.54500000,,,,,40.000,,,,,,,,,6,,2,,,05/18/2000
FR,1823878,,,WPQC357,,2,1,FX1,,153.68000000,,,,,40.000,40.000,,,,,,,,6,,3,,,05/18/2000
FR,1823878,,,WPQC357,,3,1,MO,,153.33500000,,,,,40.000,40.000,,,,,,,,100,,1,,,11/08/2000
FR,1823878,,,WPQC357,,3,1,MO,,153.54500000,,,,,40.000,40.000,,,,,,,,100,,2,,,11/08/2000
FR,1823878,,,WPQC357,,3,1,MO,,153.68000000,,,,,40.000,40.000,,,,,,,,100,,3,,,11/08/2000
FR,1834768,,,KLG496,,1,1,FB,,160.23000000,,,,,40.000,96.000,,,,,,,,1,,1,,,10/26/1994
FR,1834768,,,KLG496,,1,1,FB,,160.32000000,,,,,40.000,96.000,,,,,,,,1,,2,,,10/26/1994
